Drug,Application Number,Date,Boxed Warning,Contraindications,Warnings and Precautions,Adverse Reactions,Drug Interactions,Use in Specific Populations,PCI/PI/MG
NOVOLOG PENFILL(BLA-020986),020986,02/28/2023,,,,,,,x
NOVOLOG PENFILL(BLA-020986),020986,03/23/2021,,,,x,,x,
NOVOLOG PENFILL(BLA-020986),020986,12/20/2018,,,,,,x,
NOVOLOG PENFILL(BLA-020986),020986,03/16/2017,,,x,x,,x,x
NOVOTHYROX(NDA-021292),021292,09/14/2018,,x,x,,x,x,
NOXAFIL(NDA-022003),022003,10/25/2024,,,x,,,,x
NOXAFIL(NDA-022003),022003,01/13/2022,,x,x,x,x,x,x
NOXAFIL(NDA-022003),022003,03/11/2019,,,x,x,,x,
NOXAFIL(NDA-022003),022003,02/21/2019,,,x,x,,,
NOXAFIL(NDA-022003),022003,01/04/2018,,,,x,,,
NOXAFIL(NDA-022003),022003,09/09/2016,,,x,,x,x,x
NOXAFIL(NDA-205053),205053,10/25/2024,,,x,,,,x
NOXAFIL(NDA-205053),205053,01/13/2022,,x,x,x,x,x,x
NOXAFIL(NDA-205053),205053,06/17/2021,,,,x,x,x,x
NOXAFIL(NDA-205053),205053,05/31/2021,,x,x,x,x,x,x
NOXAFIL(NDA-205053),205053,03/11/2019,,,x,x,,x,
NOXAFIL(NDA-205053),205053,01/04/2018,,,,x,,,
NOXAFIL(NDA-205053),205053,09/09/2016,,,x,,x,x,x
NOXAFIL(NDA-205596),205596,10/25/2024,,,x,,,,x
NOXAFIL(NDA-205596),205596,01/13/2022,,x,x,x,x,x,x
NOXAFIL(NDA-205596),205596,06/17/2021,,,,x,x,x,x
NOXAFIL(NDA-205596),205596,03/11/2019,,,x,x,,x,
NOXAFIL(NDA-205596),205596,02/21/2019,,,x,x,,,
NOXAFIL(NDA-205596),205596,01/04/2018,,,,x,,,
NOXAFIL(NDA-205596),205596,09/09/2016,,,x,,x,x,x
NOXAFIL POWDERMIX KIT(NDA-214770),214770,10/25/2024,,,x,,,,x
NOXAFIL POWDERMIX KIT(NDA-214770),214770,01/13/2022,,x,x,x,x,x,x
NPLATE(BLA-125268),125268,02/10/2021,,,,x,,x,
NPLATE(BLA-125268),125268,01/28/2021,,,x,,,x,x
NPLATE(BLA-125268),125268,11/23/2020,,,,x,,,
NPLATE(BLA-125268),125268,10/17/2019,,,x,x,,x,x
NPLATE(BLA-125268),125268,12/14/2018,,,x,x,x,x,x
NPLATE(BLA-125268),125268,06/05/2017,,,x,,,,
NPLATE(BLA-125268),125268,04/19/2016,,,x,,,,
NPLATE(BLA-125268),125268,04/19/2016,,,,x,,x,
NUBAIN(NDA-018024),018024,12/15/2023,,,x,x,,,
NUBAIN(NDA-018024),018024,10/07/2019,,,x,,,,
NUBAIN(NDA-018024),018024,12/16/2016,x,x,x,x,x,x,
NUBEQA(NDA-212099),212099,10/13/2023,,,x,x,,,
NUBEQA(NDA-212099),212099,08/05/2022,,,x,x,,x,x
NUBEQA(NDA-212099),212099,01/07/2021,,,,,x,,
NUCALA(BLA-125526),125526,01/22/2022,,,,,,,x
NUCALA(BLA-125526),125526,07/29/2021,,,,x,,x,x
NUCALA(BLA-125526),125526,09/12/2019,,,,x,,x,
NUCALA(BLA-125526),125526,12/12/2017,,,x,x,,x,x
NUCALA(BLA-125526),125526,02/16/2017,,,x,x,,,x
NUCALA(BLA-761122),761122,07/29/2021,,,,x,,x,x
NUCALA(BLA-761122),761122,09/25/2020,,x,,x,,x,
NUCALA(BLA-761122),761122,09/12/2019,,,,x,,x,
NUCYNTA(NDA-022304),022304,12/15/2023,,,,x,,,
NUCYNTA(NDA-022304),022304,07/03/2023,,,x,x,x,x,x
NUCYNTA(NDA-022304),022304,03/04/2021,,,x,,x,,x
NUCYNTA(NDA-022304),022304,10/07/2019,,,x,,x,,x
NUCYNTA(NDA-022304),022304,09/18/2018,x,,x,,,,
NUCYNTA(NDA-022304),022304,12/16/2016,x,x,x,x,x,x,x
NUCYNTA(NDA-203794),203794,12/15/2023,x,x,x,x,,,x
NUCYNTA(NDA-203794),203794,07/03/2023,,,x,x,x,x,x
NUCYNTA(NDA-203794),203794,03/04/2021,,,x,,x,,x
NUCYNTA(NDA-203794),203794,10/07/2019,,,x,,x,,x
NUCYNTA(NDA-203794),203794,09/18/2018,x,,x,,,,
NUCYNTA(NDA-203794),203794,12/16/2016,x,x,x,x,x,x,x
NUCYNTA ER(NDA-200533),200533,12/15/2023,x,,x,x,,x,x
NUCYNTA ER(NDA-200533),200533,03/04/2021,,,x,,x,,x
NUCYNTA ER(NDA-200533),200533,10/07/2019,,,x,,x,,x
NUCYNTA ER(NDA-200533),200533,09/18/2018,x,,x,,,,
NUCYNTA ER(NDA-200533),200533,12/16/2016,x,x,x,x,x,x,x
NUEDEXTA(NDA-021879),021879,06/11/2019,,,,,,x,
NUEDEXTA(NDA-021879),021879,01/31/2019,,,,,,x,
NULOJIX(BLA-125288),125288,07/28/2021,,,x,,,,
NULOJIX(BLA-125288),125288,04/13/2018,,,,x,,x,
NULOJIX(BLA-125288),125288,11/09/2017,,,x,x,x,,
NULOJIX(BLA-125288),125288,02/02/2017,,,,x,,x,
NULYTELY(NDA-019797),019797,05/14/2021,,,x,x,,,x
NULYTELY-FLAVORED(NDA-019797),019797,05/14/2021,,,x,x,,,x
NUPLAZID(NDA-207318),207318,09/15/2023,,,x,,,,
NUPLAZID(NDA-207318),207318,11/23/2020,,,,,,,x
NUPLAZID(NDA-207318),207318,09/27/2019,,,,x,,,
NUPLAZID(NDA-207318),207318,05/10/2019,,,,,x,,
NUPLAZID(NDA-207318),207318,03/04/2019,,,,x,,,
NUPLAZID(NDA-207318),207318,03/04/2018,,,,,,x,
NUPLAZID(NDA-207318),207318,03/04/2018,,,,x,,,
NUPLAZID(NDA-207318),207318,10/17/2017,,x,,x,,,
NUPLAZID(NDA-210793),210793,09/15/2023,,,x,,,,
NUPLAZID(NDA-210793),210793,11/23/2020,,,,,,,x
NUPLAZID(NDA-210793),210793,09/27/2019,,,,x,,,
NUPLAZID(NDA-210793),210793,05/10/2019,,,,,x,,
NUPLAZID(NDA-210793),210793,03/04/2019,,,,x,,,
NURTEC ODT(NDA-212728),212728,04/11/2022,,,,,,x,
NURTEC ODT(NDA-212728),212728,12/08/2021,,,,,x,x,x
NURTEC ODT(NDA-212728),212728,05/27/2021,,,,x,,,x
NUTRESTORE(NDA-021667),021667,03/31/2021,,,,,,x,x
NUTRILIPID 20%(NDA-019531),019531,05/17/2023,,x,x,x,,x,x
NUTRILIPID 20%(NDA-019531),019531,05/17/2023,,x,x,x,,x,x
NUTROPIN(BLA-019676),019676,12/13/2016,,x,x,x,,,
NUTROPIN(BLA-020168),020168,12/13/2016,,x,x,x,,,
NUTROPIN AQ(BLA-020522),020522,12/13/2016,,x,x,x,,,
NUVARING(NDA-021187),021187,05/31/2024,,,x,x,x,,x
NUVARING(NDA-021187),021187,05/02/2022,,x,x,x,,,x
NUVARING(NDA-021187),021187,05/08/2019,,,,x,,,x
NUVARING(NDA-021187),021187,12/04/2018,,,,x,,,x
NUVARING(NDA-021187),021187,12/04/2018,,,x,,,,x
NUVARING(NDA-021187),021187,02/12/2018,,x,x,x,,,x
NUVARING(NDA-021187),021187,08/09/2017,,x,x,,x,,x
NUVARING(NDA-021187),021187,05/30/2017,,,,,x,x,x
NUVESSA(NDA-205223),205223,02/25/2022,,,,,,x,x
NUVESSA(NDA-205223),205223,12/06/2021,,,,,,x,x
NUVESSA(NDA-205223),205223,08/03/2018,,,x,x,,x,x
NUVIGIL(NDA-021875),021875,02/07/2017,,,x,x,,x,x
NYMALIZE(NDA-203340),203340,12/28/2019,,,,,,x,x
NYVEPRIA(BLA-761111),761111,04/16/2021,,,x,x,,,x
OBREDON(NDA-205474),205474,12/15/2023,,,,x,,,
OBREDON(NDA-205474),205474,06/28/2018,x,x,x,x,x,x,x
OBREDON(NDA-205474),205474,01/13/2017,x,,x,,x,,x
OCALIVA(NDA-207999),207999,05/26/2021,,x,x,,,x,x
OCALIVA(NDA-207999),207999,02/01/2018,x,,x,x,x,x,x
OCREVUS(BLA-761053),761053,06/21/2024,,,,,,,x
OCREVUS(BLA-761053),761053,01/19/2024,,,x,x,,,x
OCREVUS(BLA-761053),761053,08/18/2023,,,,x,,,
OCREVUS(BLA-761053),761053,08/03/2022,,,x,x,,,x
OCREVUS(BLA-761053),761053,12/14/2020,,,,x,,,x
OCREVUS(BLA-761053),761053,11/06/2020,,,x,x,,x,x
OCREVUS(BLA-761053),761053,05/15/2020,,,x,x,,,x
OCREVUS(BLA-761053),761053,01/10/2020,,,x,,x,x,x
OCREVUS(BLA-761053),761053,07/16/2019,,,,,,,x
OCREVUS(BLA-761053),761053,11/12/2018,,,x,,x,x,x
OCREVUS(BLA-761053),761053,11/02/2017,,,,,,,x
OCTREOSCAN(NDA-020314),020314,02/09/2022,,,x,x,,,
OCTREOSCAN(NDA-020314),020314,12/22/2021,,,x,x,,,
ODEFSEY(NDA-208351),208351,09/10/2021,,,,,,x,
ODEFSEY(NDA-208351),208351,03/04/2021,,,x,x,,,x
ODEFSEY(NDA-208351),208351,12/03/2019,,,x,x,,x,x
ODEFSEY(NDA-208351),208351,10/31/2018,,x,x,x,x,x,x
ODEFSEY(NDA-208351),208351,08/21/2017,,,x,x,x,x,x
ODEFSEY(NDA-208351),208351,08/21/2017,,,x,x,x,x,x
ODEFSEY(NDA-208351),208351,04/07/2017,,,x,,,,x
ODOMZO(NDA-205266),205266,08/22/2023,,,,x,,x,
ODOMZO(NDA-205266),205266,05/13/2019,,,x,x,x,x,
OFEV(NDA-205832),205832,10/11/2024,,,,x,,,
OFEV(NDA-205832),205832,06/18/2024,,,,,,x,
OFEV(NDA-205832),205832,01/13/2022,,,x,x,,x,x
OFEV(NDA-205832),205832,10/28/2020,,,x,,,x,x
OFEV(NDA-205832),205832,03/09/2020,,,x,x,,x,x
OFEV(NDA-205832),205832,09/06/2019,,,x,x,x,x,x
OFEV(NDA-205832),205832,11/09/2018,,,,x,x,,
OFEV(NDA-205832),205832,01/29/2018,,,x,x,,,x
OFEV(NDA-205832),205832,12/13/2017,,,x,x,,,
OFEV(NDA-205832),205832,08/04/2017,,,x,x,,,
OFEV(NDA-205832),205832,02/09/2017,,,,x,,,
OFIRMEV(NDA-022450),022450,04/06/2018,,,,,,x,
OFIRMEV(NDA-022450),022450,01/27/2017,,,,x,,x,
OGIVRI(BLA-761074),761074,11/13/2024,,,,x,,x,
OGIVRI(BLA-761074),761074,04/17/2019,,,x,x,,,
OJEMDA(NDA-217700),217700,06/26/2024,,,,,,x,x
OJEMDA(NDA-218033),218033,06/26/2024,,,,,,x,x
OLINVYK(NDA-210730),210730,12/15/2023,x,,x,x,,x,x
OLINVYK(NDA-210730),210730,03/04/2021,,,x,x,,,
OLUMIANT(NDA-207924),207924,06/13/2022,,,x,x,x,x,x
OLUMIANT(NDA-207924),207924,05/10/2022,x,,x,x,,x,x
OLUMIANT(NDA-207924),207924,12/02/2021,x,,x,,,,x
OLUMIANT(NDA-207924),207924,07/08/2020,,,x,x,,,x
OLUMIANT(NDA-207924),207924,10/08/2019,,,,,,x,
OLUX(NDA-021142),021142,04/25/2018,,,x,x,,x,x
OLUX E(NDA-022013),022013,05/14/2018,,,x,x,,x,x
OLYSIO(NDA-205123),205123,11/09/2017,,,,,x,,
OLYSIO(NDA-205123),205123,05/12/2017,,,x,,x,,
OLYSIO(NDA-205123),205123,02/14/2017,x,,x,,,,x
OMEGAVEN(NDA-210589),210589,05/17/2023,,,x,x,,x,x
OMEPRAZOLE(NDA-022032),022032,09/30/2022,,,x,,,,
OMEPRAZOLE(NDA-022032),022032,04/08/2019,,,x,,,,
OMEPRAZOLE(NDA-022032),022032,10/30/2017,,,x,,,,
OMEPRAZOLE(NDA-209400),209400,10/21/2022,,,x,,,,
OMEPRAZOLE(NDA-209400),209400,01/28/2019,,,x,,,,
OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN(NDA-050824),050824,05/01/2024,,,x,x,,,
OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN(NDA-050824),050824,08/16/2023,,x,,x,x,,x
OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN(NDA-050824),050824,08/16/2023,,x,,x,x,,x
OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN(NDA-050824),050824,03/04/2022,,,x,x,,,x
OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN(NDA-050824),050824,11/27/2020,,x,x,x,,,x
OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN(NDA-050824),050824,01/17/2020,,x,x,x,x,x,x
OMEPRAZOLE AND CLARITHROMYCIN AND AMOXICILLIN(NDA-050824),050824,10/24/2016,,,x,,,x,x
OMIDRIA(NDA-205388),205388,12/08/2017,,,,x,,x,
OMNARIS(NDA-022004),022004,05/08/2019,,,,,,x,
OMNIPAQUE 140(NDA-018956),018956,10/08/2024,x,,x,x,x,x,
OMNIPAQUE 140(NDA-018956),018956,04/25/2023,,,x,,,x,
OMNIPAQUE 140(NDA-018956),018956,02/18/2022,,,x,x,,x,x
OMNIPAQUE 140(NDA-018956),018956,08/05/2021,,x,,x,,x,
OMNIPAQUE 140(NDA-018956),018956,04/17/2018,,x,x,x,x,x,x
OMNIPAQUE 140(NDA-018956),018956,04/05/2017,,,x,x,,,x
OMNIPAQUE 180(NDA-018956),018956,10/08/2024,x,,x,x,x,x,
OMNIPAQUE 180(NDA-018956),018956,04/25/2023,,,x,,,x,
OMNIPAQUE 180(NDA-018956),018956,02/18/2022,,,x,x,,x,x
OMNIPAQUE 180(NDA-018956),018956,08/05/2021,,x,,x,,x,
OMNIPAQUE 180(NDA-018956),018956,04/17/2018,,x,x,x,x,x,x
OMNIPAQUE 180(NDA-018956),018956,04/05/2017,,,x,x,,,x
OMNIPAQUE 210(NDA-018956),018956,10/08/2024,x,,x,x,x,x,
OMNIPAQUE 210(NDA-018956),018956,04/25/2023,,,x,,,x,
OMNIPAQUE 210(NDA-018956),018956,02/18/2022,,,x,x,,x,x
OMNIPAQUE 210(NDA-018956),018956,08/05/2021,,x,,x,,x,
OMNIPAQUE 210(NDA-018956),018956,04/17/2018,,x,x,x,x,x,x
OMNIPAQUE 210(NDA-018956),018956,04/05/2017,,,x,x,,,x
OMNIPAQUE 240(NDA-018956),018956,10/08/2024,x,,x,x,x,x,
OMNIPAQUE 240(NDA-018956),018956,04/25/2023,,,x,,,x,
OMNIPAQUE 240(NDA-018956),018956,02/18/2022,,,x,x,,x,x
OMNIPAQUE 240(NDA-018956),018956,08/05/2021,,x,,x,,x,
OMNIPAQUE 240(NDA-018956),018956,04/17/2018,,x,x,x,x,x,x
OMNIPAQUE 240(NDA-018956),018956,04/05/2017,,,x,x,,,x
OMNIPAQUE 240(NDA-020608),020608,10/08/2024,x,,x,x,x,x,
OMNIPAQUE 240(NDA-020608),020608,04/25/2023,,,x,,,x,
OMNIPAQUE 240(NDA-020608),020608,02/18/2022,,x,x,x,x,x,x
OMNIPAQUE 240(NDA-020608),020608,11/09/2017,,,,,,x,x
OMNIPAQUE 240(NDA-020608),020608,04/05/2017,,,x,x,,,x
OMNIPAQUE 240(NDA-020608),020608,04/05/2017,,,x,x,,,x
OMNIPAQUE 300(NDA-018956),018956,10/08/2024,x,,x,x,x,x,
OMNIPAQUE 300(NDA-018956),018956,04/25/2023,,,x,,,x,
OMNIPAQUE 300(NDA-018956),018956,02/18/2022,,,x,x,,x,x
OMNIPAQUE 300(NDA-018956),018956,08/05/2021,,x,,x,,x,
OMNIPAQUE 300(NDA-018956),018956,04/17/2018,,x,x,x,x,x,x
OMNIPAQUE 300(NDA-018956),018956,04/05/2017,,,x,x,,,x
OMNIPAQUE 300(NDA-020608),020608,10/08/2024,x,,x,x,x,x,
OMNIPAQUE 300(NDA-020608),020608,04/25/2023,,,x,,,x,
OMNIPAQUE 300(NDA-020608),020608,02/18/2022,,x,x,x,x,x,x
OMNIPAQUE 300(NDA-020608),020608,11/09/2017,,,,,,x,x
OMNIPAQUE 300(NDA-020608),020608,04/05/2017,,,x,x,,,x
OMNIPAQUE 300(NDA-020608),020608,04/05/2017,,,x,x,,,x
OMNIPAQUE 350(NDA-020608),020608,10/08/2024,x,,x,x,x,x,
OMNIPAQUE 350(NDA-020608),020608,04/25/2023,,,x,,,x,
OMNIPAQUE 350(NDA-020608),020608,02/18/2022,,x,x,x,x,x,x
OMNIPAQUE 350(NDA-020608),020608,11/09/2017,,,,,,x,x
OMNIPAQUE 350(NDA-020608),020608,04/05/2017,,,x,x,,,x
OMNIPAQUE 350(NDA-020608),020608,04/05/2017,,,x,x,,,x
OMNIPAQUE 350(NDA-020608),020608,12/21/2016,,,x,x,,,
OMNIPAQUE 70(NDA-018956),018956,10/08/2024,x,,x,x,x,x,
OMNIPAQUE 70(NDA-018956),018956,04/25/2023,,,x,,,x,
OMNIPAQUE 70(NDA-018956),018956,02/18/2022,,,x,x,,x,x
OMNIPAQUE 70(NDA-018956),018956,08/05/2021,,x,,x,,x,
OMNIPAQUE 70(NDA-018956),018956,04/17/2018,,x,x,x,x,x,x
OMNIPAQUE 70(NDA-018956),018956,04/05/2017,,,x,x,,,x
OMNIPRED(NDA-017469),017469,03/04/2022,,x,,x,,,
OMNISCAN(NDA-020123),020123,07/23/2024,,,,x,,,
OMNISCAN(NDA-020123),020123,01/26/2024,x,,x,,,x,x
OMNISCAN(NDA-020123),020123,04/26/2018,,,x,x,,x,x
OMNISCAN(NDA-022066),022066,07/23/2024,,,,x,,,
OMNISCAN(NDA-022066),022066,01/26/2024,x,,x,,,,x
OMNISCAN(NDA-022066),022066,10/23/2019,,,,,,x,
OMNISCAN(NDA-022066),022066,04/26/2018,,,x,x,,x,x
OMNITROPE(BLA-021426),021426,11/12/2024,,,,,,x,
OMNITROPE(BLA-021426),021426,12/13/2016,,x,x,x,,,
OMVOH(BLA-761279),761279,04/29/2024,,,,,,,x
ONCASPAR(BLA-103411),103411,03/13/2024,,,x,x,,,x
ONCASPAR(BLA-103411),103411,12/22/2022,,,,x,,,
ONCASPAR(BLA-103411),103411,11/02/2021,,,x,x,x,x,x
ONCASPAR(BLA-103411),103411,06/17/2020,,,x,,,x,x
ONCASPAR(BLA-103411),103411,01/03/2019,,x,x,x,,x,x
ONCASPAR(BLA-103411),103411,10/07/2016,,,x,,,,
ONEXTON(NDA-050819),050819,02/21/2020,,,x,,,x,x
ONFI(NDA-202067),202067,03/12/2024,,,x,x,,,x
ONFI(NDA-202067),202067,01/13/2023,,,x,x,,x,x
ONFI(NDA-202067),202067,02/05/2021,x,,x,x,,,x
ONFI(NDA-202067),202067,06/15/2018,,,,,,x,x
ONFI(NDA-202067),202067,12/16/2016,x,,x,x,x,,x
ONFI(NDA-203993),203993,03/12/2024,,,x,x,,,x
ONFI(NDA-203993),203993,01/13/2023,,,x,x,,x,x
ONFI(NDA-203993),203993,02/05/2021,x,,x,x,,,x
ONFI(NDA-203993),203993,06/15/2018,,,,,,x,x
ONFI(NDA-203993),203993,12/16/2016,x,,x,x,x,,x
ONGLYZA(NDA-022350),022350,10/11/2024,,x,x,,x,x,x
ONGLYZA(NDA-022350),022350,07/01/2019,,,,x,,,
ONGLYZA(NDA-022350),022350,02/27/2017,,,,,,x,x
ONGLYZA(NDA-022350),022350,01/18/2017,,,x,x,,,x
ONGLYZA(NDA-022350),022350,04/05/2016,,,x,,,,
ONPATTRO(NDA-210922),210922,10/03/2022,,,,x,,,
ONPATTRO(NDA-210922),210922,05/06/2021,,,x,x,,,
ONPATTRO(NDA-210922),210922,04/17/2020,,,,,,x,x
ONSOLIS(NDA-022266),022266,03/04/2021,x,,x,,x,,x
ONSOLIS(NDA-022266),022266,10/07/2019,,,x,,x,,x
ONSOLIS(NDA-022266),022266,12/16/2016,x,x,x,x,x,x,x
ONSOLIS(NDA-022266),022266,12/16/2016,x,x,x,x,x,x,x
ONTAK(BLA-103767),103767,02/03/2020,,,x,x,,x,x
OPANA(NDA-011707),011707,10/07/2019,,,x,,x,,
OPANA(NDA-011707),011707,12/16/2016,x,x,x,x,x,x,x
OPANA(NDA-021611),021611,10/25/2019,,,,x,,x,
OPANA(NDA-021611),021611,10/07/2019,,,x,,x,,x
OPANA(NDA-021611),021611,09/18/2018,x,,x,,,,
OPANA(NDA-021611),021611,12/16/2016,x,x,x,x,x,x,x
OPANA ER(NDA-021610),021610,12/15/2023,x,x,x,x,,x,x
OPANA ER(NDA-021610),021610,04/28/2022,,,,,,x,
OPANA ER(NDA-021610),021610,03/04/2021,,,x,,x,,x
OPANA ER(NDA-021610),021610,10/07/2019,,,x,,x,,x
OPANA ER(NDA-021610),021610,09/18/2018,x,,x,,,,
OPANA ER(NDA-021610),021610,12/16/2016,x,x,x,x,x,x,x
OPANA ER(NDA-201655),201655,10/07/2019,,,x,,x,,x
OPANA ER(NDA-201655),201655,09/18/2018,x,,x,,,,
OPANA ER(NDA-201655),201655,12/16/2016,x,x,x,x,x,x,x
OPDIVO(BLA-125554),125554,10/03/2024,,,,x,,x,x
OPDIVO(BLA-125554),125554,03/06/2024,,,,x,,x,x
OPDIVO(BLA-125554),125554,03/06/2024,,,x,,,,
OPDIVO(BLA-125554),125554,10/13/2023,,,,x,,,x
OPDIVO(BLA-125554),125554,02/15/2023,,,,,,x,
OPDIVO(BLA-125554),125554,02/15/2023,,,,,,x,
OPDIVO(BLA-125554),125554,02/15/2023,,,,,,x,
OPDIVO(BLA-125554),125554,05/27/2022,,,,x,,x,x
OPDIVO(BLA-125554),125554,05/27/2022,,,,x,,x,x
OPDIVO(BLA-125554),125554,03/04/2022,,,,x,,x,x
OPDIVO(BLA-125554),125554,08/19/2021,,,,x,,x,
OPDIVO(BLA-125554),125554,07/23/2021,,,,x,,,
OPDIVO(BLA-125554),125554,05/20/2021,,,,x,,x,x
OPDIVO(BLA-125554),125554,04/16/2021,,,,x,,x,x
OPDIVO(BLA-125554),125554,01/22/2021,,,x,x,,x,x
OPDIVO(BLA-125554),125554,11/10/2020,,,x,x,,,x
OPDIVO(BLA-125554),125554,10/02/2020,,,x,x,,,x
OPDIVO(BLA-125554),125554,09/25/2020,,,x,x,,,
OPDIVO(BLA-125554),125554,06/10/2020,,,,x,,x,
OPDIVO(BLA-125554),125554,05/26/2020,,,x,x,,x,x
OPDIVO(BLA-125554),125554,05/15/2020,,,x,x,,x,x
OPDIVO(BLA-125554),125554,03/11/2020,,,x,x,,x,x
OPDIVO(BLA-125554),125554,09/18/2019,,,x,,,,
OPDIVO(BLA-125554),125554,05/02/2019,,,,x,,x,x
OPDIVO(BLA-125554),125554,03/07/2019,,,,x,,,x
OPDIVO(BLA-125554),125554,02/01/2019,,,x,,,,
OPDIVO(BLA-125554),125554,11/15/2018,,,x,x,,,
OPDIVO(BLA-125554),125554,04/16/2018,,,x,x,,x,x
OPDIVO(BLA-125554),125554,03/05/2018,,,x,x,,x,
OPDIVO(BLA-125554),125554,03/05/2018,,,x,x,,x,
OPDIVO(BLA-125554),125554,03/05/2018,,,x,x,,x,
OPDIVO(BLA-125554),125554,03/05/2018,,,x,x,,x,
OPDIVO(BLA-125554),125554,03/05/2018,,,x,x,,x,
OPDIVO(BLA-125554),125554,03/05/2018,,,x,x,,x,
OPDIVO(BLA-125554),125554,03/05/2018,,,x,x,,x,
OPDIVO(BLA-125554),125554,03/05/2018,,,x,x,,x,
OPDIVO(BLA-125554),125554,03/05/2018,,,x,x,,x,
OPDIVO(BLA-125554),125554,03/05/2018,,,x,x,,x,
OPDIVO(BLA-125554),125554,02/13/2018,,,x,x,,,
OPDIVO(BLA-125554),125554,01/09/2018,,,x,,,,
OPDIVO(BLA-125554),125554,01/09/2018,,,x,,,,
OPDIVO(BLA-125554),125554,01/09/2018,,,x,,,,
OPDIVO(BLA-125554),125554,01/09/2018,,,x,,,,
OPDIVO(BLA-125554),125554,01/09/2018,,,x,,,,
OPDIVO(BLA-125554),125554,12/20/2017,,,,x,,x,x
OPDIVO(BLA-125554),125554,09/06/2017,,,x,,,,
OPDIVO(BLA-125554),125554,11/10/2016,,,,x,,x,x
OPDIVO(BLA-125554),125554,10/04/2016,,,x,x,,x,x
OPDIVO(BLA-125554),125554,05/17/2016,,,x,x,,,
OPDUALAG(BLA-761234),761234,03/06/2024,,,x,,,,
OPFOLDA(NDA-215211),215211,07/25/2024,,,,x,,,
OPSUMIT(NDA-204410),204410,05/26/2023,,,,x,,,
OPSUMIT(NDA-204410),204410,10/25/2021,,x,,,,,x
OPSUMIT(NDA-204410),204410,05/26/2021,,,,,x,,
OPSUMIT(NDA-204410),204410,10/16/2018,,x,x,,,x,x
OPSUMIT(NDA-204410),204410,03/21/2017,,,x,x,,,x
OPSUMIT(NDA-204410),204410,10/21/2016,,,,x,,,
OPSUMIT(NDA-204410),204410,06/15/2016,,,,x,,,
OPSUMIT(NDA-204410),204410,02/17/2016,,,,x,,,
OPTIMARK(NDA-020937),020937,04/26/2018,,,x,x,,x,x
OPTIMARK(NDA-020975),020975,04/26/2018,,,x,x,,x,x
OPTIMARK IN PLASTIC CONTAINER(NDA-020976),020976,04/26/2018,,,x,x,,x,x
OPTIRAY 160(NDA-019710),019710,04/25/2023,,,x,,,x,
OPTIRAY 160(NDA-019710),019710,05/04/2022,x,,,,,,
OPTIRAY 160(NDA-019710),019710,02/18/2022,,,x,x,,x,x
OPTIRAY 160(NDA-019710),019710,01/23/2020,,,,,,x,
OPTIRAY 160(NDA-019710),019710,04/26/2017,x,x,x,x,x,x,x
OPTIRAY 160(NDA-019710),019710,04/05/2017,,,x,x,,,x
OPTIRAY 160(NDA-019710),019710,08/12/2016,,,,x,,,
OPTIRAY 240(NDA-019710),019710,04/25/2023,,,x,,,x,
OPTIRAY 240(NDA-019710),019710,05/04/2022,x,,,,,,
OPTIRAY 240(NDA-019710),019710,02/18/2022,,,x,x,,x,x
OPTIRAY 240(NDA-019710),019710,01/23/2020,,,,,,x,
OPTIRAY 240(NDA-019710),019710,04/26/2017,x,x,x,x,x,x,x
OPTIRAY 240(NDA-019710),019710,04/05/2017,,,x,x,,,x
OPTIRAY 240(NDA-020923),020923,04/25/2023,,,x,,,x,
OPTIRAY 240(NDA-020923),020923,02/18/2022,,,x,x,,x,x
OPTIRAY 240(NDA-020923),020923,11/18/2020,,,,,,x,
OPTIRAY 240(NDA-020923),020923,11/18/2020,x,,,,,,
OPTIRAY 240(NDA-020923),020923,12/12/2017,,,,x,,,
OPTIRAY 240(NDA-020923),020923,04/26/2017,x,x,x,x,x,x,x
OPTIRAY 240(NDA-020923),020923,04/05/2017,,,x,x,,,x
OPTIRAY 240(NDA-020923),020923,08/12/2016,,,,x,,,
OPTIRAY 300(NDA-019710),019710,04/25/2023,,,x,,,x,
OPTIRAY 300(NDA-019710),019710,05/04/2022,x,,,,,,
OPTIRAY 300(NDA-019710),019710,02/18/2022,,,x,x,,x,x
OPTIRAY 300(NDA-019710),019710,01/23/2020,,,,,,x,
OPTIRAY 300(NDA-019710),019710,04/26/2017,x,x,x,x,x,x,x
OPTIRAY 300(NDA-019710),019710,04/05/2017,,,x,x,,,x
OPTIRAY 300(NDA-020923),020923,04/25/2023,,,x,,,x,
OPTIRAY 300(NDA-020923),020923,02/18/2022,,,x,x,,x,x
OPTIRAY 300(NDA-020923),020923,11/18/2020,,,,,,x,
OPTIRAY 300(NDA-020923),020923,11/18/2020,x,,,,,,
OPTIRAY 300(NDA-020923),020923,12/12/2017,,,,x,,,
OPTIRAY 300(NDA-020923),020923,04/26/2017,x,x,x,x,x,x,x
OPTIRAY 300(NDA-020923),020923,04/05/2017,,,x,x,,,x
